Rank,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
46,"Darin Smith, Jr.",CCSU,18,34.2,20.7,6.5,14.5,0.448,1.6,4.4,0.35,6.1,6.6,0.924,1.3,3.9,5.2,1.2,0.8,0.3,1.6,1.5
47,Money Williams,MONT,18,32.2,20.6,6.6,13.4,0.488,1.4,4.3,0.333,6.1,6.8,0.886,0.4,3.7,4.1,4.4,1.3,0.3,3.9,3.1
48,Keyshawn Hall,AUB,17,34.1,20.6,5.8,13.2,0.438,1.8,4.8,0.383,7.2,8.5,0.854,1.6,4.5,6.1,2.8,0.8,0.7,2.6,2.6
49,Anias Futrell,LIND,20,35.6,20.5,6.9,15.4,0.448,3,7.8,0.385,3.7,4.4,0.841,1.2,5,6.2,2.2,2.2,1.1,3,2.2
50,Rob Wright III,BYU,18,36.5,20.4,7.1,14.9,0.472,1.6,4.2,0.387,4.7,5.6,0.85,1.1,2.4,3.5,3.9,1,0,2,2
51,Daniel Freitag,BUFF,11,33.8,20.2,5.7,14.5,0.394,2.1,6.8,0.307,6.6,8.1,0.82,0.5,2.9,3.5,4.9,1.4,0.3,2,2.5
52,Erik Pratt,SB,17,35.9,20.1,7.2,16.8,0.432,1.9,5.6,0.333,3.8,5.2,0.727,0.9,4.3,5.2,4.4,0.8,0.4,3.2,2.7
53,Mikey Williams,CSUS,9,35.7,20.1,5.7,13.9,0.408,1.1,3.7,0.303,7.7,9.2,0.831,0.8,2.6,3.3,3.2,1.2,0.4,2.6,1.9
54,Caleb Wilson,UNC,11,33.5,20.1,7.5,12.5,0.606,0.3,1.2,0.231,4.7,6.4,0.743,2.4,5.4,7.7,3.1,1.5,1.2,2,1.5
55,Nils Machowski,WOFF,18,36.4,20.1,6.7,14,0.48,3.6,8.2,0.442,3,3.8,0.794,1.4,5.1,6.5,2.4,0.4,0.6,1.7,2.1
56,Tylik Weeks,SOMIS,18,33.6,20.1,6.5,13.7,0.474,0.2,1.3,0.167,6.8,8.3,0.82,0.9,4.4,5.3,2.7,0.8,0.4,3.3,2.8
57,Collin Parker,APSU,18,31.2,20,7.1,14.3,0.492,1.9,4.4,0.438,3.9,4.8,0.826,1.1,5.1,6.2,3.6,0.8,0.2,1.6,2.2
58,"Angel Montas, Jr.",UML,16,34.8,20,7.9,15.5,0.512,1,3.7,0.271,3.1,4.6,0.676,2,4.1,6.1,1.4,0.8,0.3,1.8,1.3
59,Tavari Johnson,AKR,18,32.9,19.9,7.1,14.3,0.498,2.2,6.1,0.355,3.6,3.8,0.928,0.7,2.9,3.6,5.4,1.3,0.3,2.8,1.4
60,Keaton Wagler,ILL,20,35.5,19.9,5.9,13.2,0.445,2.7,6.4,0.417,5.5,6.8,0.809,1.7,2.8,4.4,4.9,1,0.3,2.1,1.8
61,Mostapha El Moutaouakkil,JKSNV,20,31.7,19.9,6.3,14.6,0.43,1.3,3.7,0.342,6.1,9,0.682,1.4,5.5,6.9,1.2,1,0.2,3.1,2.6
