Rank,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
595,Flory Bidunga,KU,18,32.8,13.2,5.7,8.6,0.662,0,0.1,0,1.8,2.9,0.635,3.1,5.9,8.9,1.5,0.8,3,1.3,2.2
596,Jaxon Olvera,LA,18,28.6,13.2,5.1,13.1,0.386,1.7,5.2,0.333,1.3,2,0.667,1.2,2.8,4,1.9,0.7,0.1,2.2,1.9
597,Ezra Ausar,USC,20,31.2,13.2,4.4,8.4,0.521,0,0.1,0,4.5,6.4,0.695,2.9,4.1,7,1.6,1,0.6,2.1,3.5
598,Yann Farell,HEART,20,31.9,13.2,3.9,8.6,0.456,2.1,5.1,0.406,3.3,3.8,0.868,1.6,3.7,5.3,1.2,0.5,0.5,1.2,2.4
599,Fletcher Loyer,PURD,20,29.8,13.2,4,9.2,0.432,2.7,6.4,0.417,2.6,3,0.867,0.3,2.3,2.5,2.1,0.6,0,0.8,1.1
600,Connor Dow,ORU,16,34.3,13.1,4.4,10.7,0.415,2.4,7.6,0.314,1.9,2.2,0.857,0.8,3.6,4.4,1.9,1,0.3,1.9,1.6
601,David Punch,TCU,17,29.5,13.1,5.1,10.6,0.475,0.2,1.3,0.182,2.8,4.8,0.573,1.9,3.8,5.8,2.2,1.4,1.6,1.8,3.1
602,DeShayne Montgomery,DAY,17,31.1,13.1,4.9,10.6,0.464,1.4,4.6,0.304,1.8,2.4,0.775,0.8,2.9,3.7,2.2,2.1,0.6,2.2,2.2
603,Makhai Valentine,NIU,17,33.6,13.1,4.1,10.3,0.394,2.5,7,0.353,2.5,3.3,0.768,1.4,3.5,4.9,1.1,0.6,0.2,1.1,1.4
604,Cam Corhen,PITT,18,34.3,13.1,5.2,9.9,0.528,0.4,1.2,0.381,2.2,3.3,0.678,1.7,3.8,5.5,2,1.1,0.3,1.8,2.8
605,Jayden Brewer,WMY,18,25.3,13.1,4.6,10.5,0.434,0.4,1.3,0.304,3.6,5.4,0.67,1.4,5.4,6.9,1.2,0.8,1,1.7,1.9
606,Jamil Muttilib,GRAMB,18,28.2,13.1,4.4,10.3,0.43,1.4,5.3,0.271,2.8,3.3,0.833,1.3,2.6,3.9,0.6,1.3,0.6,1.2,2.2
607,Christian King,MTSTU,18,29.1,13.1,4.3,11.2,0.388,2.1,5.9,0.349,2.4,2.9,0.811,1.1,3.6,4.7,0.9,0.9,0.2,1.9,1.4
608,Will Hornseth,UNI,19,26.7,13.1,5.6,8.8,0.637,0.2,0.4,0.571,1.6,2.8,0.574,1.4,3.6,4.9,2.4,0.6,0.6,1.7,1.5
609,C.J. Anthony,IONA,20,32.6,13.1,4.4,10.4,0.425,1.8,4.9,0.361,2.6,3.4,0.761,0.4,2.7,3.1,5.4,1.6,0.1,3,2.1
610,Malik Messina-Moore,XAV,20,35.4,13.1,4.4,10.6,0.41,1.9,5.5,0.349,2.5,3,0.833,0.6,2.4,2.9,3.7,1.2,0.2,1.8,2.4
611,Marcus Tankersley,CHIST,16,29.8,13.1,4.8,10.1,0.478,0.3,1.1,0.294,3.1,4.8,0.658,0.3,2.6,2.9,2.9,0.6,0.1,1.6,1.4
612,Amani Hansberry,VT,18,30.6,13.1,4.7,9.8,0.477,1.3,3.2,0.404,2.4,3.2,0.772,2.7,3.9,6.7,1.8,1.3,0.6,2.6,3
613,Micah Simpson,ALAST,18,32.2,13.1,4.4,13.1,0.34,2.2,6.9,0.315,2,2.6,0.766,0.7,3.6,4.2,4.2,1.5,0.2,2.7,1.9
614,Anthony Johnson,ASU,18,26.8,13.1,4.4,10.2,0.432,0.9,2.7,0.327,3.4,4.3,0.782,0.7,2.8,3.4,1.8,1.4,0.4,2.1,1.6
615,Mikey Lewis,STMRY,18,26.1,13.1,4.4,11,0.399,1.9,5.6,0.35,2.3,2.8,0.824,0.4,1.8,2.3,1.7,0.9,0.3,1.2,1.3
616,Justin Menard,MRST,20,30.1,13.1,4.6,10.8,0.423,1.7,5.3,0.321,2.3,2.5,0.9,0.2,2.4,2.6,3.7,0.9,0.1,2.1,1.9
617,Ice Emery,CLEST,20,22.9,13.1,4.2,9.4,0.441,1.5,4.2,0.349,3.3,4.2,0.795,0.1,1.1,1.2,2.1,0.4,0.3,2.1,2.4
618,Braden East,LAMAR,21,25.9,13,5.3,9.9,0.536,0.2,0.7,0.333,2.2,3.2,0.701,2.9,6.8,9.7,0.8,0.5,1.1,1.6,2.4
619,Cayden Vasko,WOFF,18,34.5,13,4.3,9.5,0.456,2.2,5.7,0.392,2.1,2.6,0.809,1,4.3,5.3,4.1,1.1,0.3,1.3,2.3
620,Greg Gordon,LIU,18,34.2,13,6,10.1,0.593,0.1,0.7,0.083,0.9,2.6,0.37,2.2,3.9,6.1,2.8,1.6,1,2.1,1.8
621,Montavious Myrick,EKU,18,30.6,13,4.6,7.5,0.607,0,0,0,3.9,6.2,0.625,2.7,3.7,6.4,1.1,0.6,0.8,1.2,3.1
622,Zion Obanla,UMES,14,25.9,13,5,8.2,0.609,0.1,0.1,0.5,2.9,3.8,0.774,2.4,4.7,7.1,1.1,0.9,0.4,1.9,2.9
623,Jailen Bedford,VT,18,28.3,13,4.7,11.8,0.396,2.1,5.7,0.369,1.6,2.2,0.718,1.1,2.2,3.3,1.6,0.6,0.1,0.9,2.1
624,Dorian McMillian,JKSN,13,30.5,13,4.2,9.6,0.432,2.5,5.9,0.416,2.2,2.8,0.806,0.7,3.7,4.4,0.9,0.9,0.2,2,1.9
625,Ruot Bijiek,BUCK,4,29.5,13,4,11.3,0.356,1.5,6.8,0.222,3.5,3.8,0.933,2.3,4.5,6.8,0.8,0.3,1,2,2.5
626,Nassim Mashhour,OAKL,1,22,13,4,10,0.4,3,7,0.429,2,2,1,3,4,7,2,1,0,0,4
627,Hudson Ward,WMY,1,23,13,5,7,0.714,3,5,0.6,0,0,0,1,1,2,2,0,0,0,1
628,J.T. Pettigrew,VAL,20,29.1,13,4,10.3,0.383,0.8,2.4,0.313,4.3,5.5,0.789,2.4,4.7,7.1,1.9,1.2,0.6,2.3,3
629,"Zawdie Jackson, Jr.",FIU,20,30.6,13,3.7,8,0.463,0.9,2.3,0.37,4.7,5.4,0.87,0.6,2,2.5,2.8,1.2,0.1,1.5,1.8
630,Marcus Millender,UGA,18,29.1,12.9,4.3,8.9,0.478,2.1,4.8,0.43,2.3,2.8,0.84,0.6,2.1,2.7,3.9,0.6,0,1.6,2.1
631,Jordan Burks,UCF,18,29.8,12.9,4.3,9.9,0.436,1.8,4.9,0.375,2.4,3.3,0.733,1.2,3.6,4.8,0.6,1.3,0.4,1,1.6
632,Tyler Shirley,FAMU,18,30,12.9,4.7,10.3,0.459,0.8,2.6,0.326,2.7,3.2,0.828,1.3,3.9,5.2,2,1.1,0.4,2.7,3.1
633,Kayden Mingo,PENST,16,33.3,12.9,4.8,10.5,0.452,0.7,2.9,0.239,2.8,3.9,0.698,0.5,2.6,3.1,4.3,1.9,0.3,2.3,2.2
634,Mekhi Gray,MAINE,12,29.4,12.9,4.4,7.9,0.558,0.8,2.5,0.3,3.3,4.8,0.69,0.5,3.4,3.9,1.9,1.3,0.3,2,2.3
635,Acaden Lewis,VILL,20,32.2,12.9,5.2,11.1,0.464,0.9,3,0.288,1.8,3.2,0.556,0.2,2.7,2.9,5.4,2.3,0.2,2.5,2.3
636,Jaxson Bell,USMA,18,27.7,12.9,4.1,9.7,0.417,1.7,5.1,0.33,3.1,3.7,0.848,1.6,3.9,5.4,2.2,1.1,0.2,2.2,2.3
637,Andrej Stojakovic,ILL,18,26.6,12.9,4.3,9.2,0.464,0.5,2.4,0.205,3.8,4.3,0.885,1.4,3.8,5.2,0.9,0.3,0.3,1.2,1.2
638,Paul McNeil,NCST,18,30,12.9,3.8,9,0.42,2.9,6.9,0.416,2.4,3,0.815,0.7,2.3,3,0.7,0.6,0.6,0.5,1.7
639,Amari Allen,UA,16,29.7,12.9,4.1,8.9,0.462,1.9,4.8,0.395,2.8,3.4,0.8,1.6,5.3,6.9,2.9,1.1,0.6,1.6,3.4
640,Brandon Mitchell-Day,DART,14,28.4,12.9,4.4,8.9,0.488,0.8,2.4,0.333,3.4,4.4,0.758,1.7,7.4,9.1,1.6,0.4,0.8,2.2,2.6
641,Karmello Branch,UMKC,14,30.9,12.9,4.5,11.2,0.401,2.4,7.1,0.333,1.5,1.8,0.84,1,1.6,2.6,1.4,0.4,0.1,1.4,1.6
642,Marcus Hall,UWGB,20,34.7,12.9,4.1,8.6,0.471,2,4.7,0.415,2.8,3.6,0.778,0.7,4.8,5.5,2.5,0.4,0.3,1.4,1.7
643,C.J. Gunn,DEP,20,28.4,12.9,4.8,12.4,0.385,1.9,5.9,0.316,1.5,2.2,0.682,1.3,2.7,3.9,2.1,1.2,0.7,2.3,3.1
644,Tomislav Buljan,UNM,19,26.4,12.8,4.9,9.4,0.522,0.1,0.6,0.182,2.9,5.2,0.571,4.6,6.4,10.9,1.3,1.2,0.5,1.8,2.1
645,Connor Sevilla,UCD,19,31.6,12.8,3.6,9.2,0.394,2.1,5.3,0.386,3.5,4,0.882,0.2,1.3,1.4,0.8,0.8,0.1,1.4,1.7
646,Phat Phat Brooks,CMU,18,30.1,12.8,4.4,9.8,0.446,0.3,1.3,0.261,3.7,5.3,0.705,1,2.3,3.3,4.4,1.3,0.3,2.6,2.6
647,Daniel Rouzan,BTHCK,18,24.6,12.8,5.1,9.6,0.535,0.3,0.8,0.333,2.3,3.4,0.689,1.9,3.8,5.7,1.3,0.3,0.7,1.7,2.8
648,Nate Kingz,SYRA,18,31.4,12.8,4.5,8.9,0.506,2.3,5.6,0.406,1.6,2.4,0.651,0.8,2,2.8,1.3,0.8,0.6,0.8,2.4
649,Tyler Nickel,VANDY,18,31.2,12.8,4.3,10.5,0.413,2.6,7.5,0.341,1.6,1.8,0.879,0.4,2.6,3,1.1,0.7,0.6,0.8,1.4
650,Kael Robinson,NKU,17,25.2,12.8,4.3,10.5,0.408,1.8,5.8,0.306,2.5,2.9,0.84,1.3,3.1,4.4,1.4,0.6,0.3,1.5,2.2
651,Patrick McMahon,MTSTU,16,30.1,12.8,4.4,10.1,0.441,0.2,1.7,0.111,3.8,5,0.75,0.7,3.7,4.4,1.7,0.8,0.2,1.6,1.7
652,Amar Augillard,UWM,20,20.9,12.8,4.3,10.2,0.422,1.6,5.1,0.314,2.6,3,0.867,0.6,2,2.6,1.1,0.8,0.3,1.9,2.2
653,Braylon Mullins,UConn,19,29.6,12.8,4.6,10.6,0.436,2.6,7,0.376,0.9,1.1,0.85,0.8,2.7,3.5,1.4,1.3,0.8,1.2,3
654,T.K. Simpkins,OREG,19,33.1,12.8,4.2,10.2,0.409,1.3,3.9,0.32,3.2,3.6,0.884,0.5,2.8,3.3,2.4,0.9,0.1,1.9,1.7
655,Tyler King,SIUE,19,26.5,12.8,4.7,10.3,0.456,1.8,4.8,0.385,1.6,2.6,0.6,0.7,2.5,3.2,1.2,0.9,0.2,1.2,1.9
656,Robbie Avila,STLOU,18,26.7,12.8,4.1,8.3,0.497,1.9,4.7,0.4,2.7,3.3,0.8,0.7,3.9,4.6,4.4,0.8,0.6,1.7,1.8
657,Tamin Lipsey,IWAST,18,32.1,12.8,4.6,10.4,0.441,1.1,3.9,0.286,2.4,3.8,0.638,1.4,2.9,4.3,4.5,2,0,1.8,2.1
658,John Camden,Cal,18,32.4,12.8,3.9,9.3,0.423,2.3,6.4,0.365,2.6,3.3,0.78,0.7,4.1,4.8,1.5,0.8,0.1,1.1,2.9
659,Jaylon Johnson,RADF,13,32.5,12.8,3.8,9.5,0.403,2.3,6.9,0.333,2.8,3.6,0.766,0.9,2.4,3.3,3.1,1.7,0.2,1.7,1.4
660,Josh Dix,CREI,20,33.5,12.8,4.8,11.3,0.42,1.9,6,0.319,1.4,1.7,0.818,0.5,3.5,3.9,2,0.9,0.2,1.3,1.4
661,Trevon Brazile,ARK,18,34.1,12.7,4.6,8.7,0.529,1.2,3.7,0.313,2.3,3.4,0.689,1.4,5.8,7.2,1.9,1.6,1.7,1.1,2.2
662,Cory Wells,PVAMU,18,33.9,12.7,4.3,11.8,0.366,1.2,3.4,0.361,2.8,4.1,0.699,1.4,6,7.4,2.3,1.2,1.1,2.2,3.5
663,Alex Mirhosseini,UAPB,18,32.7,12.7,4.1,10.2,0.399,2.8,7.3,0.389,1.8,2.3,0.78,0.3,1.7,2.1,2.9,1.8,0.2,1.2,3
664,Connor Hollenbeck,IDHST,18,28.5,12.7,4,8.3,0.48,0.9,3.1,0.286,3.8,4.7,0.812,1.6,2.7,4.3,1.2,1,0.3,2,2.5
665,Theo Seng,TROY,14,27.5,12.7,4.7,9.1,0.516,1.1,3.1,0.364,2.1,2.6,0.811,1.1,4.8,5.9,0.9,0.6,0.1,1.1,1.5
666,Ismail Habib,USI,17,31.9,12.7,4.2,11.5,0.364,1.8,5.9,0.297,2.6,3.8,0.677,0.6,2.4,3,2.6,0.5,0,2.4,1.3
667,Mahmoud Fofana,CSUN,20,30.7,12.7,5.4,8.2,0.652,0,0.1,0,2,3.3,0.606,3.1,5.6,8.7,1.6,1,1,0.9,3.1
668,Tre Beard,CLEST,20,31.4,12.7,3.9,9.4,0.415,3,7.3,0.411,1.9,2.1,0.905,0.8,2.7,3.5,3.3,1.1,0.1,1,2.1
669,Leif Moeller,UE,20,33.7,12.7,4.2,9.9,0.424,1.7,4.1,0.407,2.7,3.3,0.815,0.5,3.9,4.4,4.1,1,0.5,2.9,1.8
670,Kimani Hamilton,UNLV,20,30,12.7,4.3,8.6,0.5,1.2,2.9,0.404,3,3.8,0.787,1.7,3,4.7,2.1,0.8,0.4,1.4,3.6
671,Austin Green,UML,10,31.5,12.7,4.4,8.1,0.543,0,0.1,0,3.9,5.4,0.722,3.4,5.3,8.7,1.2,0.2,0.7,1.1,1.8
672,Demariontay Hall,COPST,10,21.8,12.7,4.8,8.3,0.578,0,0.1,0,3.1,6.6,0.47,1.7,3.3,5,0.2,0.6,1.1,2,3.3
673,Luke Skaljac,MIAMI,16,30.8,12.7,4.8,9.8,0.487,1.3,4.3,0.304,1.9,2.4,0.769,0.4,2.5,2.9,4.8,1.4,0.3,2.2,1.4
674,Treyson Anderson,NDSU,16,20.4,12.7,4.1,8.3,0.5,1.4,3.6,0.397,3,4,0.75,1.8,3.9,5.6,0.8,0.1,1.1,1.2,1.8
675,Nate Johnson,KSU,18,34,12.7,4.1,10.2,0.404,1.8,4.9,0.36,2.7,3.1,0.873,0.7,4.1,4.7,5.1,2.3,0.2,2.9,2.3
676,Billy Richmond III,ARK,18,28.9,12.7,5.4,9.4,0.574,0.2,1.3,0.174,1.7,2,0.833,1.3,2.8,4.1,2.2,1.3,1.1,1.2,2.6
677,"Barry Dunning, Jr.",PITT,18,34.6,12.7,4.7,10.8,0.436,1.6,5.4,0.299,1.6,2.6,0.63,2.1,4.5,6.6,0.9,0.8,0.6,1.2,1.8
678,Noah Bolanga,UTECH,18,33.9,12.7,4.6,10.6,0.435,1.9,4.7,0.4,1.6,2.5,0.622,0.9,5.3,6.3,2.1,1.2,0.5,2.3,2.2
679,Te'Jon Sawyer,MONT,18,28.6,12.7,5.2,8.8,0.589,1.3,3.4,0.393,1,1.4,0.692,0.7,4.9,5.6,1.4,0.6,0.3,2.2,2.7
680,Parker Friedrichsen,DAV,18,27.8,12.7,3.8,9.4,0.408,2.5,5.8,0.429,2.5,2.9,0.865,0.6,1.9,2.6,1.3,1.1,0.1,1,1.7
681,Malik Thomas,UVA,18,24,12.7,4.2,10.5,0.402,2.2,6.2,0.36,2,2.7,0.735,0.9,3.7,4.6,1.6,0.4,0.2,1.6,2.5
682,Zach Cleveland,LBRTY,20,35.8,12.7,5.2,8.3,0.627,0,0.1,0,2.3,4,0.57,0.5,5.9,6.4,6.5,1.3,1.3,3.4,2.1
683,Brent Bland,STPC,20,33.4,12.7,3.6,9.9,0.36,2.3,6.7,0.346,3.3,4.2,0.774,1.4,3.9,5.2,1.7,1.7,0.4,1.2,2.8
684,Kachi Nzeh,UALR,20,30.5,12.7,4.7,9.9,0.47,1.9,4.6,0.418,1.5,2.1,0.69,1.5,3.3,4.8,1.4,0.9,0.9,1.7,2.2
685,Kam Sanders,AF,20,29.1,12.7,4.2,10.2,0.414,1.3,3.2,0.391,3,4.4,0.69,0.2,4,4.2,4.1,1,0.1,2.3,1.9
686,Asa Thomas,FRMN,11,30,12.6,3.9,10.5,0.374,2.9,7.7,0.376,1.9,2.5,0.778,0.4,4,4.4,2,0.5,0.6,0.5,1.1
687,Garrett Anderson,UND,13,30.8,12.6,4.4,10.3,0.425,2.4,5.9,0.403,1.5,2.1,0.704,0.2,3.6,3.8,1.2,1.2,0.5,1.3,2.2
688,Jahmere Tripp,URI,13,26.5,12.6,3.9,8.8,0.443,1.5,3.7,0.417,3.2,4.6,0.7,1.6,2.6,4.2,1.2,1.2,0.5,2.1,3.2
689,Christian Reeves,C of C,18,23.5,12.6,5.2,7.7,0.674,0,0,0,2.3,3.7,0.621,3.1,5.7,8.8,0.4,0.3,1.6,1.1,1.9
690,Max Frazier,CCSU,18,30.6,12.6,5.3,7.8,0.681,0,0.1,0,1.9,2.8,0.686,1.7,6.1,7.8,0.9,0.8,1.5,1.6,2.7
691,Daniel Rivera,UAB,18,29.8,12.6,4.9,9.3,0.53,0.1,0.3,0.333,2.6,4.1,0.635,2.3,3.8,6.2,1.2,1.1,1,1.2,2.6
692,Marcell McCreary,UTA,18,30.4,12.6,4,9.4,0.424,1.6,5.2,0.312,3,3.5,0.857,1.6,3.6,5.2,1.6,1.6,0.2,1.8,1.9
693,Jordan Ellerbee,FGCU,18,27.5,12.6,4.6,10,0.456,1.7,4.4,0.388,1.8,2.8,0.64,0.5,2.2,2.7,2,0.8,0.1,1.9,2.7
694,Jaxon Edwards,IUI,20,25.2,12.6,5.1,9.2,0.549,0.4,1.4,0.286,2.1,2.7,0.778,2,4.1,6.1,1.8,1.2,0.8,1.8,3
695,Bryce Hopkins,STJ,20,29.9,12.6,4.3,10.4,0.409,0.5,2,0.256,3.6,5,0.72,2,4.8,6.7,1.6,1.2,0.3,1,1.8
696,Tye Dorset,MERRI,20,38.3,12.6,4.4,9.9,0.447,1.9,5.1,0.363,2,2.7,0.736,0.3,3.1,3.3,2.3,1.9,0.5,1,1.8
697,"D.J. Armstrong, Jr.",UMBC,16,32.6,12.6,4.1,9.1,0.445,2.1,5.7,0.374,2.3,2.4,0.949,0.3,2.9,3.3,1.7,0.9,0.3,0.8,1.6
698,Zamoku Welche-Ume,NC A&T,18,33.4,12.6,4.5,10.5,0.429,1,3.5,0.286,2.6,3.6,0.719,1.8,6.1,7.9,0.7,0.8,0.8,2.1,2.5
699,Declan Wucherpfennig,FAIR,20,31.8,12.6,5,9.1,0.552,0.5,1.5,0.345,2.1,3.2,0.651,2.8,5.6,8.4,1.5,0.8,0.5,1.2,2.2
700,Tyler Spratt,UDM,20,27.5,12.6,4.1,8.7,0.468,2.3,5.2,0.433,2.2,2.8,0.8,1.2,3.1,4.3,2.1,0.8,0.5,1,2.2
701,Brandon Rechsteiner,COLST,20,28.5,12.6,4.4,9.8,0.449,2.5,6.3,0.389,1.3,1.7,0.765,0.6,2.1,2.6,2.5,1,0.1,1.7,1.3
702,Dovydas Butka,CAM,15,33.8,12.5,4.9,10.7,0.456,0.1,0.9,0.154,2.7,4,0.667,3.2,5.7,8.9,2.6,1.6,0,2.2,2.8
703,Jon Carroll,MRHD,20,26.4,12.5,4.7,8,0.581,0,0.1,0,3.2,4.4,0.736,3.4,4.9,8.3,0.9,1,0.4,1.3,3.2
704,Keanu Dawes,U of U,18,31.7,12.5,4.6,9,0.512,1.3,3.4,0.371,2,2.9,0.692,1.7,6.6,8.3,1.7,0.5,0.3,1.7,1.4
705,Josiah Lake II,ORST,18,33.4,12.5,3.8,8.7,0.436,1.4,3.3,0.441,3.5,4.3,0.808,0.3,3.1,3.3,4.4,1.2,0.4,2.1,1.7
706,Mark Lavrenov,CSUS,18,30.2,12.5,3.8,7.8,0.482,0.3,1.2,0.273,4.6,5.4,0.847,2.7,5,7.7,0.7,0.5,0.3,0.9,3.6
707,Jacob Walker,SHSU,20,28.3,12.5,3.8,8.2,0.466,1.1,2.8,0.382,3.9,5,0.778,0.5,1.9,2.4,2.8,0.9,0.1,2.4,2.1
708,Reese Miller,W&M,18,25.3,12.5,4.5,9.8,0.46,1.3,4.4,0.3,2.2,3.2,0.672,0.4,1.8,2.2,2.3,0.6,0.3,1.2,1.1
709,Jalen Smith,RICE,18,33.4,12.5,4.4,11.3,0.392,2.8,7.6,0.365,0.8,1.3,0.625,1.1,1.4,2.5,1.8,1.1,0.2,2.2,1.3
710,Nolan Winter,UWISC,19,32.4,12.5,4.7,8.5,0.556,1.1,3.1,0.356,1.9,2.7,0.706,2.1,5.7,7.8,1.4,0.4,1.1,0.7,1.8
711,Michael Imariagbe,WRST,19,24.3,12.5,4.3,7.4,0.582,0,0,0,3.8,5.3,0.723,2.8,4.2,7.1,2.1,0.7,0.8,1.6,2.8
712,Alex Karaban,UConn,20,33.8,12.5,4.4,9.6,0.458,1.7,4.5,0.378,2,2.3,0.848,1.7,3.7,5.4,2.2,0.9,0.8,1.2,2
713,Peter Bandelj,POLY,20,30.8,12.5,3.6,8.9,0.407,1.9,5.2,0.356,3.4,3.9,0.883,1.1,2.9,3.9,3.2,1.1,0.1,2.4,1.8
714,Arlandus Keyes,MSMU,20,30,12.5,4.4,11,0.402,2.5,7.3,0.342,1.2,1.8,0.657,0.8,2.9,3.7,3.2,2,0.4,2.2,2.8
715,Lajae Jones,FLAST,18,31.6,12.4,4.2,10.1,0.42,1.4,4.6,0.301,2.6,3.4,0.758,1.7,4.9,6.6,1.1,1.1,1.1,0.8,2.6
716,Jordan Pyke,UIW,18,25.4,12.4,4.3,8.6,0.5,0.9,2.2,0.4,3,4.1,0.73,1.5,3.7,5.2,1.3,0.4,0.4,1.3,2.7
717,Chris Bell,Cal,18,28.3,12.4,3.8,9.4,0.406,2.1,5.7,0.359,2.7,3.4,0.803,0.2,2.2,2.4,0.6,0.5,0.4,1.2,1.4
718,Eli King,UND,16,34.6,12.4,4.4,10.9,0.406,1.3,4.4,0.3,2.3,3.2,0.706,1.4,4.4,5.8,2.3,2,0.9,0.8,3.1
719,Blair Thompson,COM,14,33.9,12.4,4.7,9.2,0.512,1.5,4.2,0.356,1.5,2.1,0.7,1.1,3.1,4.1,0.8,0.9,0.5,0.9,2.1
720,Khouri Carvey,NCCU,7,25.9,12.4,4.7,8.6,0.55,0,0.1,0,3,4.9,0.618,2,3,5,1.6,1.1,0.7,0.7,3
721,Aiden Sherrell,UA,17,25.1,12.4,3.9,7,0.563,0.8,2.4,0.35,3.7,4.6,0.797,2,4,6,1.5,0.4,1.8,0.8,2.2
722,Logan McIntire,CMU,17,27.2,12.4,4.2,8.9,0.47,3.2,7.2,0.443,0.9,1.1,0.789,0.4,1.8,2.2,1.5,1.2,0.1,1.5,2
723,Brendan Terry,SEMO,20,28.1,12.4,4.6,8.2,0.561,0.4,1,0.421,2.8,4.5,0.622,1.7,4.4,6.1,2.6,0.5,1.1,2,2.8
724,Bol Dengdit,UCSD,20,23.9,12.4,4.8,9.3,0.511,1,2.9,0.351,1.9,3.3,0.576,2,3.4,5.4,1.5,0.7,0.5,2,1.5
725,Taeshaud Jackson II,FDU,18,31.6,12.4,4.4,9.3,0.473,0.2,1.1,0.15,3.4,4.3,0.805,2.6,6.4,9,1.6,1.1,0.4,1.7,2.9
726,Shammah Scott,AKR,18,25.7,12.4,4.3,9.3,0.461,2.3,5.4,0.433,1.5,1.7,0.9,0.1,2.2,2.2,2.7,0.3,0.1,1.3,0.7
727,Marquel Sutton,LSU,18,31.5,12.4,3.9,9.2,0.428,0.8,2.8,0.3,3.7,4.5,0.815,2,3.6,5.6,0.7,0.8,0.1,1,2.7
728,Nick Shogbonyo,TAMU-CC,21,28.7,12.4,3.5,8.1,0.427,1.7,4.2,0.409,3.7,4.6,0.813,0.6,2.8,3.4,1.3,0.9,0,2,2.7
729,Jaylen Peterson,PRSBY,16,32.4,12.4,4.9,8.8,0.564,0,0,0,2.5,4.2,0.597,1.9,5.4,7.4,0.7,1.2,1.9,1.8,2.9
730,Austin Nunez,UTSA,11,32.2,12.4,4.2,11.7,0.357,1.1,4,0.273,2.9,3.1,0.941,0.1,1.9,2,3,1.3,0.1,2.7,2.2
731,Devon Ellis,NORF,14,29,12.4,4.4,8.3,0.526,0.8,1.9,0.407,2.9,4.3,0.667,1.6,2.7,4.3,1.6,0.9,0.4,1.1,2.4
732,Julien Soumaoro,WCU,14,28.8,12.4,4.4,10,0.436,2.5,5.9,0.422,1.1,1.4,0.8,0.6,2.6,3.2,2.1,0.7,0,1.6,2.6
733,Jaylen Wysinger,TEXSO,17,24.2,12.4,4.1,9.4,0.44,1.6,4.5,0.368,2.5,3.1,0.808,0.5,2.1,2.6,2.3,2.1,0.2,1.5,2.1
734,Brenen Lorient,WVU,17,29.6,12.4,5.2,9.9,0.521,0.6,1.9,0.313,1.4,1.8,0.774,2,2.5,4.5,1.7,0.6,0.9,1.9,2.2
735,Kyle Evans,UCI,20,31.2,12.4,5.1,8.5,0.594,0.1,0.2,0.5,2.2,2.8,0.768,2.5,6.8,9.2,1,0.4,3.7,0.9,1.8
736,Duke Brennan,VILL,20,32.4,12.4,4.4,6.5,0.674,0,0,0,3.7,5.8,0.635,3.4,6.5,9.9,2,0.7,0.6,1.9,2.5
737,J'Vonne Hadley,LVILL,18,28.4,12.3,4.6,7.8,0.582,1.1,2.5,0.422,2.2,2.9,0.75,1.4,3.9,5.3,1.7,1.1,0.3,0.9,1.9
738,Dasear Haskins,STJOE,18,29.7,12.3,4.7,10,0.472,1.4,4.2,0.329,1.5,2.2,0.692,1.4,5.2,6.7,1.7,0.7,0.6,1.2,2.1
739,Jordan Mason,TEM,18,34.3,12.3,4.6,10.4,0.436,0.7,2.2,0.333,2.5,2.9,0.849,0.4,2.6,3.1,3.6,1.1,0.2,1.8,2.3
740,C.J. Evans,UMKC,15,31.3,12.3,4.7,11.4,0.409,0.5,2.2,0.242,2.5,3.2,0.771,0.6,1.9,2.5,3.9,1.7,0.1,2.6,1.7
741,Nate Calmese,WF,9,25.8,12.3,4.8,10,0.478,2.1,5.1,0.413,0.7,1.3,0.5,0.3,1.7,2,4.3,1.1,0.1,2.3,0.9
742,Preston Ruedinger,UWGB,20,35.9,12.3,3.9,9.2,0.421,2.2,5.3,0.419,2.4,2.6,0.923,0.4,3.5,3.9,5.4,1.2,0.1,1.6,2.2
743,Elijah Jones,UTEP,20,30,12.3,4.6,10.8,0.428,1.9,4.5,0.411,1.3,1.9,0.676,2,4.1,6.1,0.6,0.7,1.2,0.9,2.3
744,Andrej Shoshkikj,SB,18,30.4,12.3,4.4,8.7,0.506,1.8,4,0.458,1.7,1.8,0.938,0.4,3.1,3.4,2.8,1.7,0.3,1.8,2.1
745,Naz Meyer,UWYOM,18,29.9,12.3,4.3,9.6,0.445,1.4,4.7,0.31,2.3,2.9,0.774,1.1,3.7,4.7,2.4,1.2,0.1,1.9,2.1
746,Kenyon Goodin,BELL,18,34.2,12.3,3.7,7.8,0.468,2.3,5.6,0.41,2.7,3.1,0.857,0.4,2.6,2.9,1.9,0.9,0.1,0.8,2.8
747,Sam Wright,COLGT,18,26.1,12.3,4.6,9.6,0.474,1.3,3.7,0.343,1.9,3,0.63,1.7,3.1,4.8,0.6,0.6,0.1,1.1,2.3
748,Jayden Epps,MISST,18,26.9,12.3,4.3,11.9,0.364,1.8,6.3,0.281,1.8,2.1,0.868,0.3,2.5,2.8,2.8,0.3,0.1,2.2,1.8
